,height,Q
0,0.001,1.957090780013048e-05
1,0.11119317408346349,0.5906600258025659
2,0.1522013176078653,1.1813004806973317
3,0.1846650812973498,1.7719409355920974
4,0.21712884498683432,2.3625813904868633
5,0.24785731941143,2.9532218453816292
6,0.2661681001664085,3.5438623002763947
7,0.284478880921387,4.134502755171161
8,0.30278966167636556,4.7251432100659265
9,0.32110044243134406,5.315783664960692
10,0.33941122318632255,5.906424119855458
11,0.3577220039413011,6.497064574750224
12,0.3735139436671154,7.087705029644989
13,0.38614077400938607,7.678345484539755
14,0.3987676043516567,8.26898593943452
15,0.4113944346939274,8.859626394329286
16,0.424021265036198,9.450266849224052
17,0.4366480953784687,10.040907304118818
18,0.44927492572073935,10.631547759013584
19,0.46190175606301004,11.22218821390835
20,0.4745285864052807,11.812828668803116
21,0.48715541674755136,12.403469123697882
22,0.49750129984522706,12.994109578592647
23,0.5071147523634405,13.584750033487413
24,0.5167282048816539,14.175390488382178
25,0.5263416573998674,14.766030943276943
26,0.5359551099180808,15.35667139817171
27,0.5455685624362943,15.947311853066475
28,0.5551820149545077,16.53795230796124
29,0.5647954674727211,17.12859276285601
30,0.5744089199909346,17.719233217750773
31,0.5840223725091481,18.30987367264554
32,0.5936358250273615,18.900514127540305
33,0.6032492775455749,19.49115458243507
34,0.6127988963101051,20.081795037329837
35,0.6205646227347759,20.6724354922246
36,0.6283303491594466,21.26307594711937
37,0.6360960755841175,21.853716402014133
38,0.6438618020087883,22.4443568569089
39,0.6516275284334591,23.034997311803664
40,0.6593932548581299,23.625637766698432
41,0.6671589812828007,24.216278221593196
42,0.6749247077074716,24.806918676487964
43,0.6826904341321424,25.397559131382728
44,0.6904561605568132,25.988199586277496
45,0.698221886981484,26.57884004117226
46,0.7059876134061549,27.169480496067028
47,0.7137533398308257,27.76012095096179
48,0.7215190662554964,28.350761405856556
49,0.7292847926801673,28.941401860751323
50,0.7366971291385278,29.532042315646088
51,0.7432232001631507,30.122682770540855
52,0.7497492711877736,30.71332322543562
53,0.7562753422123965,31.303963680330387
54,0.7628014132370193,31.89460413522515
55,0.7693274842616423,32.48524459011992
56,0.7758535552862652,33.07588504501469
57,0.7823796263108881,33.666525499909454
58,0.788905697335511,34.25716595480422
59,0.7954317683601339,34.84780640969898
60,0.8019578393847567,35.43844686459375
61,0.8084839104093797,36.02908731948852
62,0.8150099814340026,36.619727774383286
63,0.8215360524586254,37.210368229278046
64,0.8280621234832484,37.801008684172814
65,0.8345881945078713,38.39164913906758
66,0.8411142655324941,38.98228959396234
67,0.847640336557117,39.57293004885711
68,0.8541664075817399,40.16357050375188
69,0.86021160554788,40.754210958646645
70,0.8658535789959724,41.344851413541406
71,0.8714955524440647,41.93549186843617
